,cik_str,ticker,title
2884,1525769,PLAY,"Dave & Buster's Entertainment, Inc."
2885,1855066,MEGI,NYLI CBRE Global Infrastructure Megatrends Term Fund
2886,915840,BZH,BEAZER HOMES USA INC
2887,1556739,THRY,"Thryv Holdings, Inc."
2888,1325618,IRMD,IRADIMED CORP
2889,835011,MGPI,MGP INGREDIENTS INC
2890,1234006,GOOD,GLADSTONE COMMERCIAL CORP
2891,1526243,PPTA,PERPETUA RESOURCES CORP.
2892,854560,GSBC,"GREAT SOUTHERN BANCORP, INC."
2893,1826470,WOOF,"Petco Health & Wellness Company, Inc."
2894,1743907,SNCY,"Sun Country Airlines Holdings, Inc."
2895,1109242,HAFC,HANMI FINANCIAL CORP
2896,1692376,VEL,"Velocity Financial, Inc."
2897,1301787,BXC,BlueLinx Holdings Inc.
2898,790500,FAX,"ABRDN ASIA-PACIFIC INCOME FUND, INC."
2899,732417,HBIA,HILLS BANCORPORATION
2900,1313510,GGN,"GAMCO Global Gold, Natural Resources & Income Trust"
2901,884152,VMO,Invesco Municipal Opportunity Trust
2902,1447028,ABUS,Arbutus Biopharma Corp
2903,1800347,ETWO,"E2open Parent Holdings, Inc."
2904,884624,OFIX,Orthofix Medical Inc.
2905,1084201,SVA,SINOVAC BIOTECH LTD
2906,1726173,BH-A,Biglari Holdings Inc.
2907,1665988,BVS,Bioventus Inc.
2908,1854545,DDL,Dingdong (Cayman) Ltd
2909,39311,IBCP,INDEPENDENT BANK CORP /MI/
2910,1520504,VLRS,"Controladora Vuela Compania de Aviacion, S.A.B. de C.V."
2911,1846069,KIND,"Nextdoor Holdings, Inc."
2912,1464343,ATLC,Atlanticus Holdings Corp
2913,1860805,ASTL,Algoma Steel Group Inc.
2914,1320375,BOE,BlackRock Enhanced Global Dividend Trust
2915,1735438,MGTX,MeiraGTx Holdings plc
2916,1410098,CRMD,CorMedix Inc.
2917,1804176,BFLY,"Butterfly Network, Inc."
2918,1823239,MRVI,"MARAVAI LIFESCIENCES HOLDINGS, INC."
2919,1459839,SIBN,"SI-BONE, Inc."
2920,925683,BTO,JOHN HANCOCK FINANCIAL OPPORTUNITIES FUND
2921,80172,NPK,NATIONAL PRESTO INDUSTRIES INC
2922,1059386,VVR,Invesco Senior Income Trust
2923,1591588,AMRK,"A-Mark Precious Metals, Inc."
2924,1050441,EGBN,EAGLE BANCORP INC
2925,744187,REX,REX AMERICAN RESOURCES Corp
2926,1796073,VZLA,Vizsla Silver Corp.
2927,1673985,ASIX,AdvanSix Inc.
2928,1700844,EVOH,EvoAir Holdings Inc.
2929,800457,DGICA,DONEGAL GROUP INC
2930,791963,OPY,OPPENHEIMER HOLDINGS INC
2931,1633336,CCAP,"Crescent Capital BDC, Inc."
2932,1819810,RDW,Redwire Corp
2933,351834,STKL,SunOpta Inc.
2934,1674632,BBNX,"Beta Bionics, Inc."
2935,1828316,PHAR,Pharming Group N.V.
2936,1075415,DHC,DIVERSIFIED HEALTHCARE TRUST
2937,1793129,NDMO,Nuveen Dynamic Municipal Opportunities Fund
2938,1434621,TREE,"LendingTree, Inc."
2939,1844452,LUNR,"Intuitive Machines, Inc."
2940,1497645,INN,"Summit Hotel Properties, Inc."
2941,855886,PDT,JOHN HANCOCK PREMIUM DIVIDEND FUND
2942,1573221,REAL,"TheRealReal, Inc."
2943,1375877,CSIQ,Canadian Solar Inc.
2944,1534254,CION,CION Investment Corp
