,Unnamed: 0,cik_str,ticker,title
6991,9421,2022416,SLXNW,Silexion Therapeutics Corp
6992,9422,49196,HBANL,HUNTINGTON BANCSHARES INC /MD/
6993,9423,49196,HBANM,HUNTINGTON BANCSHARES INC /MD/
6994,9424,1814215,BURUW,"Nuburu, Inc."
6995,9425,1842556,EONR-WT,EON Resources Inc.
6996,9426,1839998,AONCW,"American Oncology Network, Inc."
6997,9427,1852633,PNSTW,"Pinstripes Holdings, Inc."
6998,9428,1722837,CEDAX,BlueBay Destra International Event-Driven Credit Fund
6999,9429,1415311,AGQ,ProShares Trust II
7000,9430,1415311,BOIL,ProShares Trust II
7001,9431,1415311,EUO,ProShares Trust II
7002,9432,1415311,GLL,ProShares Trust II
7003,9433,1415311,KOLD,ProShares Trust II
7004,9434,1415311,YCS,ProShares Trust II
7005,9435,1415311,ZSL,ProShares Trust II
7006,9436,1415311,UGL,ProShares Trust II
7007,9437,1415311,ULE,ProShares Trust II
7008,9438,1415311,UVXY,ProShares Trust II
7009,9439,1415311,VIXM,ProShares Trust II
7010,9440,1415311,VIXY,ProShares Trust II
7011,9441,1415311,YCL,ProShares Trust II
7012,9442,1415311,SCO,ProShares Trust II
7013,9443,1415311,SVXY,ProShares Trust II
7014,9444,1415311,UCO,ProShares Trust II
7015,9445,1506492,NUWEW,"Nuwellis, Inc."
7016,9446,1907425,JOCM,JOCOM HOLDINGS CORP.
7017,9447,1819810,RDW-WT,Redwire Corp
7018,9448,1614806,RPT-PC,Rithm Property Trust Inc.
7019,9449,1614806,RPTCP,Rithm Property Trust Inc.
7020,9450,2029976,KFIIU,K&F GROWTH ACQUISITION CORP. II
7021,9451,2029976,KFIIR,K&F GROWTH ACQUISITION CORP. II
7022,9452,1753712,LARAX,Lord Abbett Credit Opportunities Fund
7023,9453,1844862,SLDPW,"Solid Power, Inc."
7024,9454,64463,SLNHP,"Soluna Holdings, Inc"
7025,9455,1872525,SWAGW,"Stran & Company, Inc."
